abbreviate,əˈbriːvieɪt,vt. 缩写，使省略；使简短,TOEFL
abort,əˈbɔːrt,v. （使）流产，堕（胎）；（由于问题或故障）中止，使夭折；（胚胎器官，有机体）发育不全，败育,CET6
abstract,ˈæbstrækt,adj. 抽象的，纯概念的；（艺术）抽象派的；理论上的，不切实际的,高中
abstract base class,,抽象基类：在面向对象编程中，抽象基类是一个不能被实例化的类，它定义了一组共同的属性和方法，供其子类继承和实现。抽象基类通常用于定义接口和规范类的行为。,
"abstract base class
",,抽象基类：在面向对象编程中，抽象基类是一个不能被实例化的类，它定义了一组共同的属性和方法，供其子类继承和实现。抽象基类通常用于定义接口和规范类的行为。,
abstract class,,抽象类：在面向对象编程中，无法实例化且可能包含抽象方法的类。,
abstraction,æbˈstrækʃn,n. 抽象；提取；抽象概念；空想；心不在焉,IELTS
access,ˈækses,n. 入口，通道；获得的机会，使用权；（对计算机存储器的）访问，存取；（情感）爆发，发作；探视权,高中
"access
",ˈækses,n. 入口，通道；获得的机会，使用权；（对计算机存储器的）访问，存取；（情感）爆发，发作；探视权,高中
access function,ˈækses ˈfʌŋkʃn,访问函数：在编程中，用于获取或修改类的私有成员变量的成员函数。,
"access function
",ˈækses ˈfʌŋkʃn,访问函数：在编程中，用于获取或修改类的私有成员变量的成员函数。,
access level,ˈækses ˈlevl,访问级别：在计算机科学和计算机编程中，访问级别表示对数据类型提供的权限或限制。降低访问级别是限制故障模式、减少调试时间和简化系统复杂性的有效方法。它将变量修改限制在类接口中定义的方法中。因此，它被纳入许多基本的软件设计模式中。一般而言，没有足够访问级别的函数无法创建、读取、更新或删除给定对象。,
accordance,əˈkɔːrdns,n. 按照，依据，与……一致（in accordance with）,CET4
account,əˈkaʊnt,n. 账户，户头；客户，老主顾；网络账号；描述，报道；账目；账单；赊购账，赊购；理由，解释；重要性；（定期结付的）交易合同；演奏（音乐）；<英>账期交易期,高中
acknowledgement,əkˈnɑːlɪdʒmənt,n. 承认；感谢；（作者的）致谢；回执；（表示注意到了某人或某事的）示意,CET4
acquire,əˈkwaɪər,v. 获得，得到；学到，习得；患上（疾病）；逐渐具有，开始学会,高中
action,ˈækʃ(ə)n,n. 行动；行为；战斗；诉讼；<非正式>令人激动的事；动作；情节；惊险刺激的活动（或事件）；作用；开始（电影导演开拍的指令）；赚钱的机会；性交；运转方式,初中
activate,ˈæktɪveɪt,v. 激活，使活化；使参战；（尤指透过加热）加速……的反应,CET6
active,ˈæktɪv,adj. 好动的；积极主动的；定期进行的，起作用的；（思想等）活跃的；切实的；（火山）活的；主动语态的；活性的；（疾病）恶化的；服役的；参战的；（动词）表动作的；（电路系统）在运转中的,初中
actual parameter,,实际参数：提供给方法或函数的值，与形式参数相对。,
actuate,ˈæktʃueɪt,vt. 开动（机器等）；促使，驱使；激励（人等）,GRE
acyclic,ˌeɪˈsaɪklɪk,adj. 非循环的；[物] 非周期的,
adapter,əˈdæptər,n. 适配器；改编者；接合器；适应者,GMAT
adaptive,əˈdæptɪv,adj. 适应的，有适应能力的,CET4
"add-in
",ˈæd ɪn,n. 附带物；内插式附件；内装板,
addition,əˈdɪʃ(ə)n,n. 增加物，新增人员；增加；加法；（建筑物的）扩建部分,高中
additive,ˈædətɪv,n. 添加剂，添加物,TOEFL
"address
",əˈdres,n. 地址，住址；网址；电子邮箱地址；演讲，演说；（电子表格中某个单元格的）位置；<古>（对他人的）谈吐；<古>谦恭（或脉脉含情）的方式；<旧>机敏，迅速；位置存储编码,初中
address space,əˈdres speɪs,地址空间：计算机内存中用于存储和管理内存地址的一段连续区域。,
adherence,ədˈhɪrəns,n. （尤指对规则、信念等的）遵守，坚持,CET6
ADO,əˈduː,n. 麻烦，困难；纷扰，忙乱,SAT
